"","Name","Birth.name.other.names","DOB","DOD","Official.fb.page..twitter.handle..website.and.other.online.profiles","Professions","Top.picks..will.be.better.if.we.used.an.algo...like.most.rated.movies.","Awards.and.recognitions","NA.","Brief.description","Image..source.","Known.For","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77","NA..78","NA..79","NA..80","NA..81","NA..82"
"31","Brahmanandam","Brahmanandam Kanneganti","1/2/1956",Na,"fb - https://www.facebook.com/brahmanandam?fref=ts , twitter - ","Actor",Na,Na,Na,"""Brahmanandam Kanneganti (born 1 February 1956), is an Indian film actor and comedian. Hailing from Sattenapalli in Andhra Pradesh, he mostly acts in Telugu films. Prior to films, he was a Telugu lecturer in Attili, a town in West Godavari district of Andhra Pradesh. He currently holds the Guinness World Record for the most screen credits for a living actor. He was honoured with the Padma Shri, for his contribution to Indian cinema in 2009. Brahmanandam is considered one of the most versatile Indian comic actors, noted particularly for his comic expressions. Brahmanandam was part of the television quiz show Brahmi 1 million Show on iNews.""","http://starzone.raagalahari.com/dec2010/starzone/brahmanandam-photo-gallery/brahmanandam-photo-gallery2.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"32","Charle","Manohar Velmurugan Thangasamy","6/3/1960",Na,"fb - , twitter - ","Actor, Comedian",Na,Na,Na,"""Charle sometimes credited as Charlie (born Manohar Velmurugan Thangasamy; born 6 March 1960) is an Indian actor who has acted in more than 550 Tamil films as a comedian and supporting actor.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"33","Charuhasan","Charuhasan","1930 (?)",Na,"fb - , twitter - ","Actor, Director, Producer, Writer",Na,Na,Na,"""Charuhasan (born 1930) is an Indian film actor, acting mostly in South Indian movies. He was born in 1930 to D. Srinivasan. He is the elder brother of Kamal Haasan. He won the National Film Award for Best Actor and also the Karnataka Government's Best Actor Award for the movie Tabarana Kathe, directed by Girish Kasaravalli in 1987.Charuhasan is the father of Indian actress Suhasini Maniratnam and the brother of Kamal Haasan.He has acted in several Tamil & Malayalam films, and a few Telugu & Kannada movies. His other notable movies include Dalapathi which was directed by his son-in-law Maniratnam. He also acted for a short time in Sun TV's serial Anandham. Charuhasan is an avid amateur radio operator (callsign - VU2SCU). He lives in Chennai.Before entering the film industry, he was a lawyer. He had a different schooling to other children his age; due to an accident he was unable to attend school for the first few years of his life and had a private tutor give him a basic education.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"34","Chandrababu1","Joseph Panimayadas Rodriguez Chandrababu","5/8/1927","27244","fb - , twitter - ","Comdian, Actor, Director, Playback singer, Dancer",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"35","Cheran","Cheran","25914","-","fb - , twitter - ","Director, Producer, Actor",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"36","Chinni Jayanth","Krishnamurthy Narayanan","26/07/1960",Na,"fb - , twitter - ","Director, Producer, Comedian, Actor, Mimicry Artist",Na,Na,Na,"""Chinni Jayanth (born Krishnamurthy Narayanan on 26 July 1960) is a Tamil director, Producer, Comedian, Actor, and Mimicry Artist, who has appeared in many Main , Character and Supporting roles in Tamil films. He is also a popular Television personality having hosted innumerable Hit shows like 'Sagalai Vs Ragalai ', 'Kalakka Povathu Yaar ' and the popular show Asathapovathu Yaaru on Sun TV in Chennai. He is also the recipient of the prestigious Kalaimamani award given by the Government of Tamil Nadu for excellence in the field of Cinema . He received this award from the Hon'ble Chief Minister of Tamil Nadu at a glittering function at Valluvar Kottam.As an acknowledgement of his efforts in the field of cinema, mimicry, stage performances and social service activities, Chinni Jayanth was presented with a doctorate by The Open International University of Alternate Medicine on Dec 29, 2013""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"37","Chitti Babu","Sajjadh Adeebh","10/1/1964","41497","fb - , twitter - ","Actor, Comedian",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"38","Cho Ramaswamy","Srinivasa Iyer Ramaswamy","5/10/1934",Na,"fb - , twitter - ","Actor, Political Satirist, Journalist, Lawyer (?)",Na,Na,Na,"""Srinivasa Iyer Ramaswamy called as Cho Ramaswamy (Tamil: சோ ராமசுவாமி) is a comedian, editor, playwright and lawyer in Tamil Nadu.He is the founder and editor of the Tamil magazine, Thuglak.He is now was appointed as Director of many alcohol companies.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"39","Cochin Haneefa","Salim Ahmed Ghoush","22/04/1951","40211","fb - , twitter - ","Actor, director, screenwriter",Na,Na,Na,"""Salim Ahmed Ghoush (22 April 1951 – 2 February 2010), better known by his stage name Cochin Haneefa, was an Indian film actor, director, and screenwriter. He started his career in the 1970s mainly portraying villainous roles, before going on to become one of the most popular comedians of Malayalam cinema. He has acted in more than 300 films in Malayalam, Tamil and Hindi.As a director he is best known for the films Aankiliyude Tharattu (1987) and Valtsalyam (1993).""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"40","Daniel Balaji","Daniel Balaji","31090",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Daniel Balaji is an Indian actor.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"41","Delhi Ganesh","Ganesan","1/8/1944",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Delhi Ganesh a veteran Tamil Actor born in Tirunelveli, who mostly acts in supporting roles and is perhaps best known for his role in Kamal Hassan comedies and films like Nayagan and Michael Madana Kama Rajan. He has acted in more than 400 films from 1976 to present. He was a member of the 'Delhi' drama troupe called Dakshina Bharata Nataka Sabha (DBNS),. Ganesh worked in the Food Corporation of India from 1964 to 1974 before quitting in favour of films.He was introduced to Tamil Film Industry by Mr. K. Balachander in the film Pattana Pravesham (1976).His most popular roles have been as a supporting actor or a comedian but he has done villainous roles in films like Apoorva Sagodharargal (as Francis).His most notable films are Sindhu Bhairavi, Nayagan, Michael Madana Kama Rajan, Aahaa and Thenali.He is also a prominent Tamil teleserial actor who has acted in more than 8 major serials and is recently acting in fatherly roles in serials like Vasantham and Kasthuri in Sun TV.His Latest appearance is in Hindi Movie Chennai express.Awards Received1. He received ""Tamil Nadu State Government Best Actor"" for the film PASI(1979) from then Chief Minister Shri M.G.Ramachandran (MGR).2. He received ""Kalaimamani"" Award of Tamil Nadu State Government from Chief Minister J.Jayalalitha""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"42","Dhamu","Tamarai Bharani",Na,Na,"fb - , twitter - ","Actor (?)",Na,Na,Na,"""Dhamu (born Tamarai Bharani) was a part of Gaana Galata Group a popular touring and acting comedy troupe. He was first spotted by Assistant Director Sukumaran in 1991 and made his debut in Tamil Film Malar starring young actor Prashant-playing the role of the annoying and self-proclaimed comical rowdy of the district. He got his major break as 'Jeans Sivam' in 1992's- En Thozi- starring Joseph Vijay. Since then he has appeared in several films in important roles such as Baasha, Parthen Rasithen, Kadhalukku Mariyadhai, Thulladha Manamum Thullum, Ullam Kollai Poguthae, Manathai Thirudi Vittai and Ghilli. He has quit mainstream acting and has opened an agency to represent comedy shows known as- 'Tamarai Bharani Comedy Agency'. He is also hosting Kalakkal Comedy on Sun TV.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"43","Dhanush","Venkatesh Prabhu Kasthuri","28/07/1982",Na,"fb - https://www.facebook.com/DhanushKRaja?fref=ts , twitter - ","Actor, Producer, Singer, Lyricist, Screenwriter",Na,Na,Na,"""Venkatesh Prabhu Kasthuri Raja (born 28 July 1983), known by his stage name Dhanush, is an Indian film actor, producer, and singer who has acted predominantly in Tamil cinema. In 2011, he won the National Film Award for Best Actor for the movie Aadukalam and in the same year, he received international attention for his song ""Why this Kolaveri Di"", which went on to became the most viewed Indian song in YouTube.His first film was Thulluvadho Illamai, a 2002 coming-of-age movie directed by his father, Kasthuri Raja. Over the next ten years, Dhanush featured in 24 movies, becoming one of the bankable actors in Tamil cinema.""""","http://maruthitalkies.com/wp-content/uploads/2014/12/Dhanush-Photos-3.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"44","Dinesh","Dinesh Ravi",Na,Na,"fb - https://www.facebook.com/pages/Dinesh/499639150157458?fref=ts , twitter - ","Actor",Na,Na,Na,"","http://www.top10cinema.com/dataimages/27110/27110-003.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"45","Dulquer Salmaan","Dulquer Salmaan Mudhammadkutty Panaparambil","28/07/1986",Na,"fb - https://www.facebook.com/DQSalmaan?fref=ts , twitter - ","Actor, Playback singer",Na,Na,Na,"""Dulquer Salmaan is an Indian film actor and businessman known for his Malayalam films. The son of film actor Mammootty, he started his acting career in the Malayalam film Second Show (2012) and later appeared in the film Ustad Hotel (2012). He was awarded with Filmfare Award for Best Male Debut and SIIMA Award for Best Male Debutant for the performance in the film Second Show and nominated for Filmfare Award for Best Actor for his performance in Ustad Hotel.""","http://www.atozfilms.com/wp-content/uploads/2015/04/Dulquer-Salman1.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"46","G.V.Prakash Kumar","G.V.Prakash Kumar / GV","13/08/1987",Na,"fb - , twitter - ","Composer, Instrumentalist, Playback Singer, Producer, Actor",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"47","Ganesh","Ganesh Janardhanan / VTV Ganesh",Na,Na,"fb - , twitter - ","Actor, Producer",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"48","Ganesh Venkatraman","Ganesh Venkatraman","20/03/1980",Na,"fb - , twitter - ","Actor, Model",Na,Na,Na,"""Ganesh Venkatraman (Tamil:கணேஷ் வெங்கட்ராமன்) is an Indian and Tamil film actor and model. He rose to fame following his performances in films such as The Angrez, Abhiyum Naanum and Unnaipol Oruvan. He later moved to Tamil Film Industry.In a span of just over 3 years Ganesh has worked in all 4 south Indian languages – Tamil, Telugu, Malayalam and Kannada. He has also worked with all the top filmstars like Amitabh Bachhan, Kamal Hassan,Mohanlal, Akkineni Nagarjuna, Venkatesh.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"49","Ganeshkar","Ganeshkar",Na,Na,"fb - , twitter - ","Actor, Television Host",Na,Na,Na,"""Ganeshkar is a Tamil comedian actor who prominently plays supporting roles. Appearing in many Tamil films, he is also a host for Super 10 on Sun TV in Chennai. Recently he took part in Kalaignar TV's dance show, Maanada Mayilada, coming second in the process with Aarthi and they won 5 lakhs as a 2nd prize.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"50","Ganja Karuppu","Karuppu Raja","27881",Na,"fb - , twitter - ","Actor, Comedian",Na,Na,Na,"""Ganja Karuppu, born Karuppu Raja, is an Indian film actor who plays comedy roles in Tamil cinema. He has appeared in Tamil films like Raam (2005), Paruthiveeran (2007), Subramaniyapuram (2008), and Naadodig(2009, Kalavani (2010).Ganja Karuppu made his film debut in a small supporting role in Bala's Pithamagan in 2003. He appeared as Vazhavandhaan in the 2005 thriller film Raam directed by Ameer Sultan. Subsequently, he was signed up in a number of Tamil films to provide comic relief, including Thaamirabharani, Paruthiveeran, Subramaniapuram, Naadodigal and Kalavani. He co-starred in the 2008 comedy film Arai En 305-il Kadavul by Chimbudevan.He is married to Sangeetha, a physiotherapist, in 2010.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"51","Gautham Karthik","Gautham Karthik","32851",Na,"fb - , twitter - ",Na,Na,Na,Na,"""Gautham Karthik is an Indian film actor, working in the Tamil film industry. He made his acting debut in Mani Ratnam's Kadal (2013).""","http://matineestars.com/tamil/actor-gallery/gautham-karthik-photos/gautham-karthik-photos-5-large.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"52","Gautham Menon","Gautham Vasudev Menon","25/02/1973",Na,"fb - , twitter - ","Director, Actor",Na,Na,Na,"""Gautham Vasudev Menon (born 25 February 1973), known as Gautham Menon, is an Indian film director and producer, who predominantly works in South Indian cinema. Many of his films have been critically acclaimed, most notably his semi-autobiographical Vaaranam Aayiram (2008), Vinnaithaandi Varuvaayaa (2010) and his action-thrillers Kaakha Kaakha (2003), Vettaiyaadu Vilaiyaadu (2006). Vaaranam Aayiram won the National Film Award for Best Feature Film in Tamil. Gautham Menon spearheaded releasing movies of same content in different languages, simultaneously. He produces films through his London Stock Exchange-listed Photon Kathaas film production company.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"53","Gemini Ganesan","Ganapathi Subramania Sarma","17/11/1920","22/03/2005","fb - , twitter - ","Lecturer, Actor",Na,Na,Na,"""Ramaswamy Ganesan (17 November 1920 – 22 March 2005), better known by his stage name Gemini Ganesan, was an Indian film actor who worked mainly in Tamil cinema. He was nicknamed ""Kadhal Mannan"" (King of Romance) for the romantic roles he played in films. Ganesan was one among the ""three biggest names of Tamil cinema"", the other two being M. G. Ramachandran and Sivaji Ganesan. While Sivaji Ganesan excelled in films with drama, and MGR dominated films with fight sequences, Gemini Ganesan held his own with sensitive portrayals of the yearning lover. A recipient of the Padmashree in 1971, he had also won several other prestigious awards such as the ""Kalaimamani"", ""MGR Gold Medal"" and ""Screen Lifetime Achievement Award"". He came from an orthodox Brahmin family, and was one of the few graduates to enter the film industry at that time.Gemini Ganesan made his debut with Miss Malini in 1947, but was noticed only after his villainous performance in Thai Ullam in 1953. After playing the lead role in Manam Pola Mangalyam (1954), he finally acquired star status. However unlike Sivaji Ganesan or MGR, Gemini Ganesan was not originally a stage performer, and was never involved in politics. Also, he had not won any National Award for his performances in films. In his long film career spanning over five decades, Ganesan acted in more than 200 films mainly in Tamil, and a few in Hindi, Telugu, Malayalam and Kannada. His performances on the screen were enhanced by successful playback singers like A. M. Rajah and P. B. Sreenivas. In spite of his celebrated film career, Ganesan's personal life – particularly his marriage to multiple women over the years, has often been a subject of criticism.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"54","Girish Karnad","Girish Raghunath Karnad","19/05/1938",Na,"fb - , twitter - ","Playwright, Director, Actor, Poet",Na,Na,Na,"""Girish Raghunath Karnad (born 19 May 1938) is a contemporary writer, playwright, screenwriter, actor and movie director in Kannada language. His rise as a playwright in 1960s, marked the coming of age of Modern Indian playwriting in Kannada, just as Badal Sarkar did in Bengali, Vijay Tendulkar in Marathi, and Mohan Rakesh in Hindi. He is a recipient of the 1998 Jnanpith Award, the highest literary honour conferred in India.For four decades Karnad has been composing plays, often using history and mythology to tackle contemporary issues. He has translated his plays into English and has received acclaim. His plays have been translated into some Indian languages and directed by directors like Ebrahim Alkazi, B. V. Karanth, Alyque Padamsee, Prasanna, Arvind Gaur, Satyadev Dubey, Vijaya Mehta, Shyamanand Jalan and Amal Allana. He is active in the world of Indian cinema working as an actor, director, and screenwriter, in Hindi and Kannada flicks, earning awards along the way. He was conferred Padma Shri and Padma Bhushan by the Government of India and won four Filmfare Awards where three are Filmfare Award for Best Director - Kannada and one Filmfare Best Screenplay Award.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"55","Jithan Ramesh","Ramesh Choudary","23/10/1982",Na,"fb - , twitter - ","Actor, Producer",Na,Na,Na,"""Ramesh Choudary, also known by his stage name Jithan Ramesh, is a Tamil and Telugu film actor from Chennai, Tamil Nadu, India. He is the son of film producer R. B. Choudary and brother of actor Jeeva. He made his debut in the film Jithan (2005) and, as of 2010, he became a producer for the film Vaanam.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
